ID,city name,lat,lng,country,iso2,population
1,Oyo,7.8504,3.93,Nigeria,NG,736072.0
2,Ljubljana,46.0553,14.515,Slovenia,SI,314807.0
3,Pagadian,7.853,123.507,Philippines,PH,159590.0
4,Panaji,15.492,73.818,India,IN,65586.0
5,Bannu,32.989,70.5986,Pakistan,PK,622419.0
6,Thames,-37.1384,175.5853,New Zealand,NZ,6756.0
7,Barysaw,54.226,28.4922,Belarus,BY,155389.0
8,Swan Hill,-35.3396,143.54,Australia,AU,9276.0
9,Calipatria,33.1488,-115.5058,United States,US,7526.0
10,Hartland,43.1024,-88.3398,United States,US,9212.0
11,Puerto Berrío,6.4804,-74.42,Colombia,CO,33983.0
12,Maradi,13.4916,7.0964,Niger,NE,232555.0
13,Mercedes,-29.1796,-58.08,Argentina,AR,30649.0
14,Placentia,33.8807,-117.8553,United States,US,52228.0
15,Minnetonka,44.9324,-93.4601,United States,US,52369.0
16,Kamphaeng Phet,16.473,99.529,Thailand,TH,58787.0
17,Khabarovsk,48.455,135.12,Russia,RU,579000.0
18,Maha Sarakham,16.184,103.298,Thailand,TH,51584.0
19,Ridley Park,39.8785,-75.3251,United States,US,7023.0
20,Glendale,33.5797,-112.2246,United States,US,245895.0
21,Sapporo,43.075,141.34,Japan,JP,2544000.0
22,Lata,-10.738,165.8567,Solomon Islands,SB,553.0
23,Barabinsk,55.3573,78.3519,Russia,RU,31508.0
24,Lisala,2.14,21.51,Congo (Kinshasa),CD,70087.0
25,Qasr Farafra,27.0671,27.9666,Egypt,EG,5000.0
26,Gorom Gorom,14.45,-0.2333,Burkina Faso,BF,6691.0
27,Satun,6.6167,100.0667,Thailand,TH,34544.0
28,Babati,-4.2195,35.75,Tanzania,TZ,34291.0
29,Pelotas,-31.75,-52.33,Brazil,BR,320674.0
30,Lokoja,7.8004,6.7399,Nigeria,NG,60579.0
31,Kerema,-7.927,145.838,Papua New Guinea,PG,5646.0
32,Vallegrande,-18.4896,-64.11,Bolivia,BO,8422.0
33,Grapevine,32.9343,-97.0744,United States,US,51971.0
34,Mansa Konko,13.3773,-15.6786,"Gambia, The",GM,18672.0
35,Zima,53.9331,102.0331,Russia,RU,60239.0
36,Orangeville,43.9171,-80.0833,Canada,CA,32640.0
37,Melut,10.4337,32.2,South Sudan,SS,6407.0
38,Marv Dasht,29.8014,52.8215,Iran,IR,125000.0
39,Chauk,20.9085,94.823,Burma,MM,90870.0
40,Barinas,8.6,-70.25,Venezuela,VE,284289.0
41,Arezzo,43.4617,11.875,Italy,IT,91589.0
42,Coffs Harbour,-30.3071,153.1123,Australia,AU,62978.0
43,Kalabo,-14.9896,22.68,Zambia,ZM,7731.0
44,Rocha,-34.483,-54.333,Uruguay,UY,26874.0
45,Batesburg-Leesville,33.9117,-81.5308,United States,US,5350.0
46,Crookston,47.7747,-96.6062,United States,US,7875.0
47,Los Teques,10.42,-67.02,Venezuela,VE,303470.0
48,San Carlos,-17.4,-63.73,Bolivia,BO,6353.0
49,Gießen,50.5837,8.65,Germany,DE,82358.0
50,Quchan,37.1118,58.5015,Iran,IR,145531.0
51,Nasir,8.6004,33.0666,South Sudan,SS,1741.0
52,Archbald,41.5077,-75.5453,United States,US,6979.0
53,Durazno,-33.41,-56.51,Uruguay,UY,34037.0
54,Norwood,40.9932,-73.9509,United States,US,5858.0
55,Feira de Santana,-12.25,-38.97,Brazil,BR,481911.0
56,Myingyan,21.4618,95.3914,Burma,MM,163812.0
57,Gandhinagar,23.3004,72.6399,India,IN,195891.0
58,Saint Francis,45.399,-93.3896,United States,US,6425.0
59,Poquoson,37.1318,-76.3569,United States,US,12017.0
60,Trenton,39.4791,-84.462,United States,US,12762.0
61,Gore,8.149,35.537,Ethiopia,ET,9352.0
62,Baranavichy,53.1368,26.0134,Belarus,BY,168772.0
63,Tucumán,-26.816,-65.2166,Argentina,AR,830000.0
64,Huinan,42.6229,126.2614,China,CN,66315.0
65,Beaver Dam,37.4044,-86.8742,United States,US,6764.0
66,Katowice,50.2604,19.02,Poland,PL,2746000.0
67,Wenzhou,28.02,120.6501,China,CN,2350000.0
68,Kasese,0.2325,29.9883,Uganda,UG,67269.0
69,Wilcannia,-31.5662,143.3833,Australia,AU,442.0
70,Urbana,40.1088,-83.7541,United States,US,11334.0
71,Floresville,29.1403,-98.1627,United States,US,7053.0
72,Kahemba,-7.2829,19.0,Congo (Kinshasa),CD,50000.0
73,Cloncurry,-20.7,140.5,Australia,AU,1202.0
74,Zouirat,22.7304,-12.4833,Mauritania,MR,56345.0
75,Ghaziabad,28.6604,77.4084,India,IN,1341000.0
76,McMinns Lagoon,-12.5329,131.05,Australia,AU,5025.0
77,Jenks,35.998,-95.9737,United States,US,21812.0
78,Ife,7.4804,4.56,Nigeria,NG,482365.0
79,Levin,-40.6124,175.2772,New Zealand,NZ,19550.0
80,Chilca,-12.5196,-76.74,Peru,PE,12884.0
